timestamps population node_ids
98.267 v1 219
59.543 v1 219
2998.028 v1 218
2987.858 v1 218
2973.112 v1 218
2963.9 v1 218
143.906 v1 219
679.122 v1 219
705.858 v1 219
718.921 v1 219
1231.403 v1 219
1213.89 v1 219
1191.317 v1 219
1170.048 v1 219
1152.317 v1 219
1092.567 v1 219
1063.756 v1 219
1036.008 v1 219
979.316 v1 219
965.683 v1 219
953.835 v1 219
930.512 v1 219
862.321 v1 219
826.672 v1 219
773.19 v1 219
2953.477 v1 218
2939.486 v1 218
2907.215 v1 218
2865.675 v1 218
2439.472 v1 218
2402.742 v1 218
2332.726 v1 218
2293.852 v1 218
2270.864 v1 218
2259.563 v1 218
2237.95 v1 218
2226.578 v1 218
2217.291 v1 218
2203.85 v1 218
2188.35 v1 218
2165.623 v1 218
2140.645 v1 218
2122.037 v1 218
2110.84 v1 218
2450.584 v1 218
1274.082 v1 219
2460.582 v1 218
2476.878 v1 218
2793.321 v1 218
2783.458 v1 218
2774.713 v1 218
2759.552 v1 218
2745.564 v1 218
2732.333 v1 218
2723.616 v1 218
2705.631 v1 218
2663.848 v1 218
2640.209 v1 218
2615.796 v1 218
2603.8 v1 218
2576.11 v1 218
2563.347 v1 218
2487.599 v1 218
2469.181 v1 218
2082.956 v1 218
1343.659 v1 219
1420.576 v1 219
82.694 v1 220
64.521 v1 220
2977.357 v1 219
2965.207 v1 219
2955.487 v1 219
2942.731 v1 219
125.153 v1 220
2903.92 v1 219
2843.848 v1 219
2784.024 v1 219
2771.749 v1 219
2744.301 v1 219
2719.406 v1 219
2675.774 v1 219
2868.934 v1 219
231.398 v1 220
252.439 v1 220
293.072 v1 220
867.483 v1 220
828.312 v1 220
761.364 v1 220
716.102 v1 220
705.342 v1 220
682.416 v1 220
664.464 v1 220
629.116 v1 220
608.372 v1 220
574.878 v1 220
539.799 v1 220
521.95 v1 220
500.226 v1 220
374.396 v1 220
342.272 v1 220
2643.66 v1 219
2621.609 v1 219
2477.616 v1 219
2462.541 v1 219
1856.315 v1 219
1814.237 v1 219
1760.522 v1 219
1732.58 v1 219
1716.964 v1 219
1701.842 v1 219
1683.359 v1 219
1665.925 v1 219
1628.432 v1 219
1603.409 v1 219
1575.991 v1 219
1509.248 v1 219
1489.6 v1 219
1469.295 v1 219
1435.899 v1 219
1896.962 v1 219
1378.813 v1 219
1926.443 v1 219
1980.455 v1 219
2452.835 v1 219
2440.735 v1 219
2424.952 v1 219
2388.615 v1 219
2350.876 v1 219
2322.266 v1 219
2262.263 v1 219
2228.839 v1 219
2218.295 v1 219
2192.525 v1 219
2171.058 v1 219
2142.018 v1 219
2099.043 v1 219
2057.421 v1 219
1995.492 v1 219
1946.841 v1 219
958.664 v1 220
2057.441 v1 218
2006.533 v1 218
2823.471 v1 217
2784.936 v1 217
2776.233 v1 217
2756.802 v1 217
2737.259 v1 217
2723.177 v1 217
2860.106 v1 217
2704.401 v1 217
2657.166 v1 217
2642.257 v1 217
2622.676 v1 217
2604.576 v1 217
2578.785 v1 217
2561.035 v1 217
2683.387 v1 217
2873.606 v1 217
2898.216 v1 217
2916.867 v1 217
501.428 v1 218
387.81 v1 218
338.485 v1 218
262.123 v1 218
238.369 v1 218
172.168 v1 218
141.215 v1 218
110.143 v1 218
77.509 v1 218
60.748 v1 218
2991.897 v1 217
2977.065 v1 217
2966.07 v1 217
2954.622 v1 217
2939.828 v1 217
2545.2 v1 217
2479.014 v1 217
2463.063 v1 217
2452.674 v1 217
2000.174 v1 217
1988.051 v1 217
1978.515 v1 217
1953.916 v1 217
1941.756 v1 217
1920.622 v1 217
1899.537 v1 217
1871.436 v1 217
1858.643 v1 217
1844.243 v1 217
1807.952 v1 217
1784.995 v1 217
1764.445 v1 217
1752.622 v1 217
1732.243 v1 217
2011.716 v1 217
516.093 v1 218
2050.626 v1 217
2096.387 v1 217
2441.915 v1 217
2431.002 v1 217
2407.457 v1 217
2376.349 v1 217
2345.576 v1 217
2319.792 v1 217
2282.541 v1 217
2262.619 v1 217
2238.709 v1 217
2227.06 v1 217
2218.391 v1 217
2186.311 v1 217
2153.561 v1 217
2139.575 v1 217
2117.989 v1 217
2079.403 v1 217
2019.109 v1 218
527.084 v1 218
548.499 v1 218
1596.031 v1 218
1578.613 v1 218
1508.623 v1 218
1499.431 v1 218
1488.559 v1 218
1475.119 v1 218
1611.151 v1 218
1456.171 v1 218
1425.421 v1 218
1410.945 v1 218
1384.56 v1 218
1372.705 v1 218
1337.999 v1 218
1299.247 v1 218
1441.867 v1 218
1624.195 v1 218
1664.952 v1 218
1693.396 v1 218
1993.99 v1 218
1982.397 v1 218
1960.659 v1 218
1947.39 v1 218
1924.221 v1 218
1892.5 v1 218
1869.35 v1 218
1856.783 v1 218
1840.216 v1 218
1787.033 v1 218
1766.919 v1 218
1755.35 v1 218
1739.563 v1 218
1726.783 v1 218
1709.104 v1 218
1284.116 v1 218
1268.394 v1 218
1239.444 v1 218
1228.809 v1 218
817.334 v1 218
787.406 v1 218
772.815 v1 218
760.844 v1 218
735.119 v1 218
717.438 v1 218
707.846 v1 218
692.87 v1 218
676.892 v1 218
664.476 v1 218
642.887 v1 218
626.27 v1 218
607.676 v1 218
590.601 v1 218
569.142 v1 218
836.849 v1 218
537.938 v1 218
863.899 v1 218
951.909 v1 218
1219.526 v1 218
1211.328 v1 218
1198.296 v1 218
1179.238 v1 218
1163.623 v1 218
1107.847 v1 218
1081.49 v1 218
1064.126 v1 218
1052.753 v1 218
1039.07 v1 218
1023.209 v1 218
1004.407 v1 218
989.887 v1 218
974.663 v1 218
963.512 v1 218
888.664 v1 218
972.633 v1 220
1000.842 v1 220
1039.475 v1 220
1047.983 v1 222
1036.482 v1 222
1019.011 v1 222
1000.394 v1 222
980.051 v1 222
968.883 v1 222
1059.97 v1 222
956.839 v1 222
875.109 v1 222
864.412 v1 222
849.513 v1 222
834.929 v1 222
820.998 v1 222
785.35 v1 222
895.76 v1 222
1069.754 v1 222
1081.777 v1 222
1093.14 v1 222
1352.413 v1 222
1336.858 v1 222
1301.593 v1 222
1289.566 v1 222
1274.852 v1 222
1249.704 v1 222
1237.744 v1 222
1228.524 v1 222
1219.547 v1 222
1209.322 v1 222
1194.805 v1 222
1179.79 v1 222
1163.454 v1 222
1120.564 v1 222
1105.278 v1 222
770.375 v1 222
751.539 v1 222
735.44 v1 222
719.232 v1 222
328.797 v1 222
291.963 v1 222
267.939 v1 222
248.935 v1 222
231.452 v1 222
169.857 v1 222
137.914 v1 222
104.199 v1 222
83.122 v1 222
67.137 v1 222
2999.298 v1 221
2984.829 v1 221
2967.823 v1 221
2955.983 v1 221
2941.308 v1 221
355.021 v1 222
1374.559 v1 222
484.963 v1 222
527.093 v1 222
710.868 v1 222
697.945 v1 222
677.46 v1 222
664.771 v1 222
649.737 v1 222
637.408 v1 222
629.058 v1 222
619.637 v1 222
604.901 v1 222
595.481 v1 222
584.848 v1 222
570.103 v1 222
555.395 v1 222
545.009 v1 222
536.692 v1 222
514.979 v1 222
2913.659 v1 221
1388.001 v1 222
1431.107 v1 222
2316.754 v1 222
2282.219 v1 222
2264.426 v1 222
2244.915 v1 222
2234.508 v1 222
2226.137 v1 222
2337.198 v1 222
2216.978 v1 222
2181.814 v1 222
2155.548 v1 222
2141.656 v1 222
2128.676 v1 222
2117.071 v1 222
2097.417 v1 222
2199.943 v1 222
2352.189 v1 222
2430.717 v1 222
2444.668 v1 222
2717.522 v1 222
2690.948 v1 222
2661.483 v1 222
2647.291 v1 222
2632.875 v1 222
2614.347 v1 222
2600.436 v1 222
2582.902 v1 222
2573.315 v1 222
2560.817 v1 222
2533.541 v1 222
2478.245 v1 222
2469.074 v1 222
2461.195 v1 222
2453.351 v1 222
2083.582 v1 222
2063.477 v1 222
2048.061 v1 222
2018.894 v1 222
1674.936 v1 222
1656.208 v1 222
1626.462 v1 222
1615.394 v1 222
1604.611 v1 222
1588.829 v1 222
1569.42 v1 222
1522.599 v1 222
1506.821 v1 222
1497.316 v1 222
1488.053 v1 222
1476.021 v1 222
1465.356 v1 222
1452.842 v1 222
1441.865 v1 222
1690.801 v1 222
1415.63 v1 222
1703.683 v1 222
1725.159 v1 222
2008.754 v1 222
2000.238 v1 222
1990.883 v1 222
1979.283 v1 222
1955.787 v1 222
1940.372 v1 222
1890.691 v1 222
1868.255 v1 222
1856.717 v1 222
1810.135 v1 222
1792.372 v1 222
1777.012 v1 222
1764.392 v1 222
1753.764 v1 222
1734.55 v1 222
1714.688 v1 222
2788.916 v1 221
2781.273 v1 221
2773.447 v1 221
2973.595 v1 220
2960.163 v1 220
2945.358 v1 220
2911.105 v1 220
2859.033 v1 220
2775.566 v1 220
71.605 v1 221
2731.075 v1 220
2688.062 v1 220
2640.719 v1 220
2607.675 v1 220
2567.357 v1 220
2535.529 v1 220
2470.148 v1 220
2717.608 v1 220
101.027 v1 221
142.789 v1 221
235.291 v1 221
722.954 v1 221
707.727 v1 221
680.44 v1 221
658.57 v1 221
635.272 v1 221
621.46 v1 221
595.014 v1 221
571.066 v1 221
